Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Turkey,Gasoline Prices,2018-11-30T00:00:00,1.19,Monthly,TurkeyGasPri,2018-11-27T16:07:00
Turkey,Gasoline Prices,2018-12-31T00:00:00,1.13,Monthly,TurkeyGasPri,2018-12-31T12:55:00
Turkey,Gasoline Prices,2019-01-31T00:00:00,1.18,Monthly,TurkeyGasPri,2019-01-28T17:00:00
Turkey,Gasoline Prices,2019-02-28T00:00:00,1.22,Monthly,TurkeyGasPri,2019-02-25T17:13:00
Turkey,Gasoline Prices,2019-03-31T00:00:00,1.27,Monthly,TurkeyGasPri,2019-03-27T19:08:00
Turkey,Gasoline Prices,2019-04-30T00:00:00,1.2,Monthly,TurkeyGasPri,2019-04-29T16:51:00
Turkey,Gasoline Prices,2019-05-31T00:00:00,1.17,Monthly,TurkeyGasPri,2019-05-27T18:21:00
Turkey,Gasoline Prices,2019-06-30T00:00:00,1.19,Monthly,TurkeyGasPri,2019-06-29T11:25:00
Turkey,Gasoline Prices,2019-07-31T00:00:00,1.26,Monthly,TurkeyGasPri,2019-07-29T13:31:00
Turkey,Gasoline Prices,2019-08-31T00:00:00,1.17,Monthly,TurkeyGasPri,2019-08-27T12:34:00
Turkey,Gasoline Prices,2019-09-30T00:00:00,1.23,Monthly,TurkeyGasPri,2019-09-30T16:46:00
Turkey,Gasoline Prices,2019-10-31T00:00:00,1.21,Monthly,TurkeyGasPri,2019-10-31T17:40:00
Turkey,Gasoline Prices,2019-11-30T00:00:00,1.21,Monthly,TurkeyGasPri,2019-11-27T12:17:00
Turkey,Gasoline Prices,2019-12-31T00:00:00,1.2,Monthly,TurkeyGasPri,2019-12-30T22:36:00
Turkey,Gasoline Prices,2020-01-31T00:00:00,1.17,Monthly,TurkeyGasPri,2020-01-28T15:52:00
Turkey,Gasoline Prices,2020-02-29T00:00:00,1.12,Monthly,TurkeyGasPri,2020-02-26T11:51:00
Turkey,Gasoline Prices,2020-03-31T00:00:00,0.82,Monthly,TurkeyGasPri,2020-03-28T19:17:00
Turkey,Gasoline Prices,2020-04-30T00:00:00,0.74,Monthly,TurkeyGasPri,2020-04-27T22:30:00
